4-Aminobutansäure	 gamma-aminobutyric acid (GABA) 
Anmerkung	 remark; note; comment; annotation
Anmut	 grace (elegant movement, poise or balance)
Anmut	 elegance
Anmutung	 impression
Annahme	 presupposition
Annahme	 acceptance
Annahme	 receipt, receiving
Annexion	 annexation
Annihilation	 annihilation
Annonce	 classified ad
Annullierung	 annulment
Anomalie	 anomaly
Anonymität	 anonymity
Anorak	 parka, anorak
Anordnung	 arrangement, array
Anordnung	 order
Anordnung	 layout
Anpassung	 adaptation
Anredefall	 vocative case
Anregung	 stimulus, excitation
Anregung	 suggestion, proposal
Anreichern	 enrichment
Anreicherung	 enrichment
Anreiz	 incentive
Anruf	 (phone) call
Anrufbeantworter	 answering machine
Ansammlung	 gathering, collection, accumulation, assemblage
Ansammlung	 crowd
Ansatz	 approach
Ansatz	 ansatz (a mathematical expression assumed to describe a certain phenomenon, but without a proved justification for its use. It often is related to empirically obtained formulae).
Ansatz	 attempt
Ansatz	 starting point
Anschauung	 opinion; mode of view
Anschauung	 intuition
Anschlag	 attempt, attack
Anschluss	 connection, joining
Anschluss	 annexation
Anschluss	 contact
Anschreiben	 a cover letter
Anschrift	 an address
Anschuldigung	 accusation
Ansehen	 reputation (what somebody is known for)
Ansenkung	 countersink
Ansicht	 view; opinion
Ansichtskarte	 picture postcard
Ansichtssache	 matter of opinion
Ansiedlung	 settlement (a colony newly established; a place or region newly settled)
Anspielung	 allusion (indirect reference; a hint), innuendo
Ansporn	 incentive
Ansprache	 speech (an oration)
Anspruch	 entitlement
Anstalt	 (public) institution, establishment
Anstand	 decency, manners
Ansteckung	 infection
Ansteckungsgebiet	 contagious zone
Anstieg	 increase, rise, surge
Anstieg	 ascent
Anstoß	 impetus, initiation, trigger
Anstoß	 offense
Anstrengung	 effort
Anstrengung	 strenuousness, strain
Ansturm	 stampede
Antagonismus	 antagonism
Antagonist	 antagonist (all senses)
Antagonist	 adversary
Antaphrodisiakum	 antaphrodisiac
Anteil	 share, portion
Anteilszahl	 quota
Antenne	 antenna
Anthrazit	 anthracite
Anthropodizee	 anthropodicy
Anthropologie	 anthropology
Anthropomorphismus	 anthropomorphism (the attribution or ascription of human characteristics to inanimate objects, animals, forces of nature etc)
Anthroposophie	 anthroposophy
Anthropozentrismus	 anthropocentrism
Antidepressivum	 antidepressant
Antidot	 antidote
Antifaschismus	 Anti-fascism
Antifaschist	 a male antifascist
Antifaschistin	 a female antifascist
Antiguaner	 Antiguan (man from Antigua)
Antiguanerin	 Antiguan (woman from Antigua)
Antike	 antiquity (ancient times, the period of the Greeks and Romans)
Antikenhändler	 antiques dealer
Antiklopfmittel	 antiknock additive
Antikoagulans	 anticoagulant
Antikörper	 antibody
Antilope	 antelope
Antimakassar	 antimacassar
Antimon	 antimony
Antinomie	 antinomy
Antioxidans	 antioxidant
Antiphlogistikum	 anti-inflammatory, antiphlogistic
Antipyretikum	 antipyretic (medication that reduces fever)
Antiquark	 antiquark
Antiquität	 antique
Antisemit	 anti-Semite (anti-Semite)
Antisemitismus	 anti-Semitism (prejudice or hostility against Jews)
Antithese	 antithesis
Antitranspirant	 antiperspirant
Antonym	 antonym (word which has the opposite meaning as another word)
Antrag	 application, request
Antrag	 motion, proposition, petition
Antrieb	 motive, incentive
Antrieb	 drive (motor that does not take fuel)
Antriebslosigkeit	 listlessness
Antriebssystem	 drive system (means of propulsion)
Antwort	 answer
Anus	 anus
Anwachsen	 accumulation, accretion, growth
Anwalt	 lawyer
Anweisung	 directive, order
Anwender	 user of an application
Anwendung	 application
Anwendungsgebiet	 (area or field of) application
Anwesen	 property (piece of land with an owner)
Anwesenheit	 presence
Anxiolytikum	 anxiolytic
Anzahl	 (a) number, an amount; a few
Anzahlung	 deposit, down payment
Anzeichen	 sign, indication
Anziehungskraft	 The power or tendency to attract; attraction
Anzug	 suit (of clothes)
Anästhesie	 anaesthesia
Aorist	 aorist
Aorta	 aorta
Apartment	 apartment
Apastron	 apastron
Apathie	 apathy
Apex	 apex
Apfel	 apple (fruit)
Apfelbaum	 apple tree
Apfelblüte	 a apple blossom (the flower of an apple tree)
Apfelfrucht	 pome (type of fruit)
Apfelkuchen	 apple pie (pie with apple filling)
Apfelmus	 apple sauce
Apfelsaft	 apple juice
Apfelschnecke	 apple snail
Apfelschorle	 a non-alcoholic beverage made of apple juice and carbonated water
Apfelsinenbaum	 orange (tree)
Apfelstrudel	 apple strudel
Aphasie	 aphasia (pathological speech disorder)
Aphorismus	 aphorism
Aphrodisiakum	 aphrodisiac
Apiarium	 apiary
Aplomb	 aplomb
Apokalypse	 apocalypse
Apokalyptiker	 apocalyptic, apocalypticist
Apophthegma	 apothegm
Apoplexia	 apoplexy.
Apoplexie	 apoplexy.
Apostel	 apostle
Apostroph	 apostrophe.
Apostroph	 inverted comma.
Apotheke	 pharmacy
Apotheker	 pharmacist
Apothekerin	 (female) pharmacist
Apotheose	 apotheosis
Apparat	 apparatus, device
Apparatur	 apparatus, equipment
Appartement	 apartment, flat
Appell	 appeal, roll call
Appellmacher	 person who performs roll call
Appenzeller	 appenzeller
Appetit	 appetite
Applaus	 applause
Apportierhund	 gun dog
Aprikose	 apricot
Aprikosenstein	 apricot pit
Aprilscherz	 April fool
Apsis	 apse (a semicircular projection from a building)
Aquamarin	 aquamarine
Aquarien	 aquariums
Aquaristik	 actions and knowledge used to run an aquarium, aquaristics, fishkeeping
Aquarium	 aquarium
Aquifer	 aquifer (an underground layer of water-bearing porous stone, earth, or gravel)
Aquädukt	 aqueduct
Ara	 macaw
Araber	 Arab, male person from Arabia
Araberin	 Arab, female person from Arabia
Arabern	 dative plural form of '''AraberGerman|Araber'''
Arabeske	 arabesque
Arabistik	 Arab studies
Arachnophobie	 arachnophobia
Aragonesisch	 Aragonese (language)
Aramäisch	 Aramaic (the Aramaic language)
Arate	nomadic|Nomadic herder.
Arbeit	 work, labor, toil, job
Arbeit	 job, task
Arbeit	 performance, workmanship
Arbeit	 employment
Arbeit	 effort
Arbeiter	 worker
Arbeiterin	 A female laborer, worker
Arbeiterklasse	 working class
Arbeitgeber	 employer
Arbeitnehmer	 employee, worker
Arbeitsamkeit	 industriousness, diligence
Arbeitsamt	 employment agency
Arbeitsamt	 unemployment office
Arbeitsarzt	 work doctor
Arbeitsbeschaffung	 job creation
Arbeitsbuch	 workbook
Arbeitsbuch	 employment record
Arbeitsdienst	 labor service
Arbeitsdienstlager	 work camp
Arbeitsdienstlager	 training camp
Arbeitsdienstpflicht	 work conscription
Arbeitseifer	 zeal for work; enthusiasm for work, eagerness to work
Arbeitseinsatz	 work deployment
Arbeitseinsatzführer	 labor supervisor
Arbeitseinsatzingenieur	 work detail engineer
Arbeitseinstellung	 walkout
Arbeitseinstellung	 attitude to work
Arbeitsfeld	 field of work
Arbeitsfeldarzt	 military work doctor
Arbeitsgemeinschaft	 work community
Arbeitsgemeinschaft	 cartel
Arbeitsgruppe	 workgroup
Arbeitsgruppe	 gang (of workers)
Arbeitsgruppe	 task force
Arbeitskamerad	 work colleague
Arbeitskraft	 worker, employee
Arbeitskraft	 labor force
Arbeitslager	 labour camp
Arbeitsleistung	 performance (on the job)
Arbeitslohn	 wage, wages
Arbeitslose	 unemployed person
Arbeitslose	 (female) unemployed person
Arbeitslosigkeit	 unemployment
Arbeitsmaid	 female laborer
Arbeitsmann	 workman, craftsman
Arbeitsmarkt	 labor market, job market
Arbeitsmaterial	 work material
Arbeitsmensch	 workperson
Arbeitspass	 work identification card
Arbeitspflicht	 compulsory work
Arbeitspflichtiger	 a person who has the duty to work
Arbeitsplatz	 workplace
Arbeitsplatz	 place of employment
Arbeitsplatz	 employment, job, position
Arbeitsplatzwechselverordnung	 a legal order requiring a worker to change jobs
Arbeitsschutz	 industrial / occupational safety
Arbeitsschutzmaßnahme	 occupational-safety measure
Arbeitsstelle	 job, position
Arbeitstag	 workday, working day
Arbeitstisch	 workbench
Arbeitsvermögen	  ability to work
Arbeitsvertrag	 employment contract
Arbeitszimmer	 workroom
Arboretum	 arboretum
Arche	 ark (noah's ship)
Archipel	 archipelago
Architekt	 architect
Architektin	 A female architect
Architektur	architecture
Archiv	 archive
Archäologe	 archaeologist (someone who is skilled, professes or practices archaeology)
Archäologie	 archeology
Archäologin	 archaeologist (someone who is skilled, professes or practices archaeology)
Archäopteryx	 archeopteryx
Arena	 arena (an enclosed area, often outdoor; the building housing such an arena; in Ancient Rome the sand-covered centre of an amphitheatre)
Argentinier	 Argentinian (male person from Argentina)
Argentinierin	 A female Argentinian, member of descendant of the people of Argentina
Arginin	 arginine (amino acid)
Argon	 argon (a chemical element with an atomic number of 18).
Argument	 proof, reason, point
Argumentation	 argument (the process of reasoning)
Argwohn	 suspicion
Argwohn	 distrust
Arier	 Aryan (person, male)
Arisch	 The Indo-Aryan language group
Arisch	 The Indo-Aryan proto-language
Arisch	 The Indo-Iranian language group
Aristokrat	 aristocrat
Aristokratie	 aristocracy
Arithmasthenie	 arithmasthenia
Arithmetik	 arithmetic (the mathematics of numbers)
Arm	 anything that resembles an arm (''for example parts of a device, machine, etc.'')
Armaturenbrett	 dashboard
Armband	 bracelet, bangle
Armbanduhr	 wristwatch
Armbrust	 crossbow, arbalest
Arme	 arms (body part)
Arme	 pauper (poor person)
Armee	 army
Armenhaus	 poorhouse
Armenier	 Armenian (male)
Armenierin	 Armenian (person)
Armlehne	 armrest
Armsessel	 armchair
Armut	 poverty
Armutszeugnis	 evidence of incapacity (or incompetence)
Arnika	 Arnica (arnica)
Aroma	 a (generally rather pleasant) spicy or fragrant taste or smell; aroma
Aromastoff	 aromatic
Aromastoff	 flavouring
Arrangement	 arrangement
Arrest	 arrest, confinement, detention
Arroganz	 arrogance
Arschgeweih	 A tattoo on the w:Lower back tattoo|lower back of a (mostly female) human. tramp stamp, arse antlers
Arschlecker	 asslicker
Arsen	 arsenic
Art	 kind, sort, type
Art	 behaviour
Art	 way, method
Art und Weise	 method (process by which a task is completed)
Art und Weise	 way of doing something (as in approach)
Art und Weise	 manner
Artefakt	 artifact
Artensterben	 species extinction
Artenvielfalt	 species richness
Arterie	 artery
Arteriosklerose	 arteriosclerosis
Arthritis	 arthritis
Artikulation	 articulation (clarity of speech)
Artillerie	 artillery
Artischocke	 artichoke (an edible plant related to the thistle)
Artist	 one who performs extraordinary physical tricks, such as on a trapeze
Arzneimittelgesetz	 The German medicines / drug law
Arzt	 doctor, physician.
Arzthelfer	 physician assistant
Arzthelfer	 male nurse
Arzthelferin	 physician assistant
Arzthelferin	 nurse
As-dur	 A-flat major
Asbest	 asbestos
Asbestose	 asbestosis
Asche	 ash; ashes
Aschenbecher	 ashtray
Aschenbrot	 ash bread, bread baked in hot ashes
Aschenkuchen	 ash cake, cake (bread) baked in hot ash
Aschermittwoch	 Ash Wednesday
Aschlauch	 shallot
Asexualität	 asexuality
Asiate	 a male Asian
Asiatin	 Asian (female person from Asia)
Askese	 asceticism
Asparaginsäure	 aspartic acid (a nonessential amino acid)
Aspartam	 aspartame
Aspartat	 aspartate
Aspekt	 aspect
Asphalt	 asphalt, tarmac
Aspik	 aspic
Aspiration	 aspiration (burst of air that follows the release of some consonants)
Aspirin	 aspirin
Assassine	 assassin (member of the historical Ismaili Muslim militant group)
Assassine	 assassin (professional, contracted murderer)
Assel	 isopod
Assimilation	 assimilation
Assistent	 assistant
Assistenz	 assistance
Assyriologe	 assyriologist
Assyriologie	 assyriology
Assyriologin	 assyriologist
Ast	 branch
Astat	 astatine
Asterismus	 asterism (small group of stars)
Asteroid	 asteroid
Astrogeologie	 astrogeology, planetary geology, exogeology
Astrologie	 astrology
Astronaut	 astronaut
Astronom	 astronomer
Astronomie	 astronomy
Astronomin	 astronomer
Astronomische Einheit	 astronomical unit
Astrophysik	 astrophysics
Astrozyt	 astrocyte
Asylant	 A male person seeking (political) asylum, an asylum seeker.
Asylrecht	 right of asylum
Asymptote	 asymptote (a straight line which a curve approaches arbitrarily closely)
Asynchronmotor	 asynchronous / induction motor
Atavismus	 atavism
Ataxie	 ataxia (lack of coordination)
Atem	 breath
Atemgas	 breathing gas
Atemgerät	 respirator, breathing apparatus
Atemlosigkeit	 breathlessness
Atemluft	 tidal air
Atemnot	 breathlessness
Atemnot	 dyspnoea
Atemstillstand	 apnoea
Atemweg	 airway (respiratory tract)
Atheismus	 atheism.
Atheist	 atheist
Atheisten	atheists
Atheistin	 atheist
Atheistinnen	 atheists
Athlet	 athlete
Atlantik-Bastardschildkröte	 Kemp's Ridley, Lepidochelys kempii
Atlas	 atlasEnglish|atlas satin
Atmosphäre	 atmosphere
Atmosphärenchemie	 atmospheric chemistry
Atmosphärendruck	 atmospheric pressure
Atmung	 respiration, breathing
Atoll	 atoll
Atom	 atom
Atomabstand	 interatomic distance
Atombombe	 atomic bomb, nuclear bomb
Atomenergie	 atomic energy, nuclear energy (energy released by an atom)
Atomkraft	 nuclear power ''(power from nuclear reactions)''
Atomkraftwerk	 nuclear power plant
Atomkrieg	 nuclear war
Atommacht	 nuclear power ''(nation with nuclear weapons)''
Atommasse	 atomic mass (mass of an atom)
Atomspektrometrie	 atomic absorption spectroscopy
Atomspektroskopie	 atomic absorption spectroscopy
Atomstrom	 nuclear power
Atomuhr	 atomic clock
Atomwaffe	 nuclear weapon
Atriopeptin	 atriopeptin
Atrium	 atrium (square hall)
Attacke	 attack
Attentat	 assassination
Attentat	 attempted assassination
Attrappe	 dummy, mockup
Audienz	 audience (formal meeting with a state or religious dignitary)
Audiodatei	 audio file
Auditorium	 auditorium (usually in the context of universities or scholarly lectures)
Aue	 A flat, wooded meadow by a river
Aue	 ewe (female sheep)
Auerhahn	 male form of Auerhuhn
Auerhuhn	 capercaillie, wood grouse, Tetrao urogallus
Auerochse	 aurochs
Aufarbeitung	 reprocessing
Aufarbeitung	 renovation, reconditioning
Aufarbeitung	 workup
Aufbau	 construction (the manner in which or process by which something is built)
Aufbereitung	 preparation
Aufbereitung	 conditioning
Aufbereitung	 processing
Aufbewahrung	 storage, retention, custody
Aufbringung	 capture
Aufdeckung	 uncovering, discovery
Aufdeckung	 revelation, disclosure
Aufenthalt	 sojourn, stay
Aufenthaltswahrscheinlichkeit	 probability of existence
Auferstehung	 resurrection
Auffahrt	 (Swiss German) Ascension of Christ
Auffassung	 notion, conception, view
Aufforderung	 demand
Aufforderung	 request
Aufführung	 performance
Aufgabe	 exercise, assignment
Aufgabe	 challenge
Aufgabe	 duty, job
Aufgebot	 array (of people)
Aufhebung	 abolition, nullification, abrogation
Aufheizen	 heating up
Aufklärung	 the act of enlightening; an instance of enlightening
Aufklärung	 the Age of Enlightenment
Aufklärung	 sex education
Aufklärung	 clarification, as of a criminal case, mystery, etc.
Aufklärung	 elucidation
Aufkommen	 revenue
Aufkommen	 rise
Auflage	 condition or conditions (for example, as placed on a parolee)
Auflage	 edition (a whole set of copies)
Auflauf	 soufflé (baked dish) or casserole
Auflauf	 crowd
Auflösen	 disintegration
Auflösen	 dissolving
Auflösen	 resolution
Aufmarsch	 parade
Aufmerksamkeit	 attention, care
Aufnahme	 reception
Aufnahme	 recording
Aufnahmefähigkeit	 absorbability
Aufnahmefähigkeit	 capacity
Aufnahmefähigkeit	 receptivity
Aufprall	 impact (the force or energy of a collision of two objects)
Aufpreis	 surcharge
Aufrechterhaltung	 maintaining, maintenance, preservation
Aufregung	 excitement
Aufregung	 agitation
Aufruf	 call to action
Aufruf	 roll call
Aufruf	 call (computing)
Aufruhr	 riot
Aufruhr	 turmoil
Aufräumen	 The act of tidy up|tidying up.
Aufrührer	 agitator, rebel, revolutionary
Aufrührerin	 female agitator, rebel, revolutionary
Aufrüstung	 armament
Aufsatz	 essay
Aufsaugen	 absorption
Aufsaugen	 intake
Aufschlag	 impact (the force or energy of a collision of two objects)
Aufschluss	 outcrop (of a mineral)
Aufschluss	 information, explanation
Aufschmelzung	 melting
Aufschnitt	 cold cuts
Aufschrift	 label
Aufschrift	 inscription
Aufschwung	 stimulus
