A positivo	 A positive (blood type)
ampliar	 To enlarge, magnify
amplidão	 width
amplidão	 amplitude
ampola	 ampoule
ampulheta	 hourglass
amuleto	 amulet (object intended to bring protection to its owner)
amulherado	 effeminate
amálgama	 amalgam (all senses)
amálgama	 amalgamation
amável	 amiable, lovable, lovely
amável	 friendly, kind
amável	 courteous, engaging
amém	 amen
amém	 amen
amêijoa	 clam
amêndoa	 almond
amílase	 amylase
anacrônico	 anachronistic
anafar	 To fatten
anagrama	 anagram
analfabeto	 No or little instructed in letters; no or little able to read; illiterate; unlettered.
analisador	 analyzer
analisar	 to analyze
analogia	 analogy (relationship of resemblance or equivalence)
analítico	 analytical
analítico	 analytic
analógico	 analogue
ananás	 pineapple (plant)
anarquia	 anarchy
anarquismo	 anarchism (belief that proposes the absence and abolition of government in all forms)
anarquizadamente	 anarchically
anarquizador	 anarchic
anca	 hip
ancinho	 rake (garden tool)
andaime	 scaffold 
andaina	 set, class, generation, period
andaluz	 Andalusian
andaluz	 Andalusian
andar	 gait, walk
andar	 floor, storey/story
andebol	 handball (sport)
andorinha	 swallow (bird).
andorrano	 Andorran
andorrano	 Andorran
andorrense	 Andorran
andorrense	 Andorran
andróide	 android (robot with human form)
anedota	 anecdote (short account of an incident)
anedotal	 anecdotal
anedotalmente	 anecdotally
anedótico	 anecdotal
anestesia	 anesthesia
aneurisma	 aneurism
anfitrião	 host
anfractuosidade	 crevice
anfíbio	 amphibious
anfíbio	 amphibian
angariar	 To entice
angariar	 To attract
angiosperma	 angiosperm (member of plant group)
angiosperma	 angiosperm
anglicanismo	 Anglicanism
anglicano	 Anglican (member of an Anglican church)
anglicano	 Anglican (relating to one of several churches)
anglo	 Angle (A member of the ancient Germanic tribe)
anglo	 an Englishman
anglo	 Related to the Angles or the English
angélico	 angelic (belonging to, proceeding from, or resembling an angel)
angústia	 anguish, torment
angústia	 distress
anilina	 aniline
animação	 animation
animosidade	 animosity, rancour
animê	 anime (Animated works that originated in Japan)
aniquilar	 to annihilate
aniversário	 anniversary, birthday
aniversário	 anniversary
anião	 anion
anjo	 angel
ano	 year
ano bissexto	 bissextile year
ano-luz	 light year
anodizado	 anodized
anodizar	 To anodize
anoitecer	 nightfall, evening
anoitecer	 To darken (as night approaches)
anojado	 mourning
anojado	 sad
anomalia	 anomaly
anonimamente	 anonymously, without a name
anormal	 abnormal, unnatural
anormal	 irregular
anormalidade	 an abnormality
ansiar	 to long for, desire
ansiedade	 anxiety (concern)
ansiedade	 impatience
ansiosamente	 anxiously
ansioso	 anxious
ansioso	 eager
anta	 tapir
antagonista	 antagonist (opponent)
antagonista	 antagonist (in literature)
antebraço	 forearm
antecedente	 antecedent
antecedente	 previous, prior
antecedência	 antecedence
antecedência	 precedence
antecipadamente	 previously
antecipadamente	 in advance, beforehand
antecipadamente	 ere
antecipadamente	 with anticipation
antecipado	 early, advance, premature
antecipado	 anticipated
antecipar	 To anticipate
antecipar	 To look forward to
antecipação	 anticipation
antecipação	 forethought; premeditation
antemanhã	 predawn
antena	 antenna, aerial
antenupcial	 antenuptial, prenuptial
anteontem	 On the day before yesterday
antepassado	 ancestor, forefather, primogenitor
antepenúltimo	 antepenultimate (two before the last)
antepor	 to put before
antepor	 to prefer
anterior	 previous, preceding
anterioridade	 anteriority
anteriormente	 previously
anteriormente	 before
antes	 in the past; previously
antes	 preferably
antes tarde do que nunca	 better late than never
antibacteriano	 antibacterial
antibalas	 bulletproof
antibiótico	 antibiotic
antibiótico	 antibiotic
anticaspa	 antidandruff
anticoagulante	 anticoagulant
anticongelante	 antifreeze
anticonstitucionalmente	 In context of opposition to or violation of the constitution of a government or other institution; unconstitutionally; anticonstitutionally.
anticorpo	 antibody (protein that binds to a specific antigen)
anticristo	 antichrist (Someone that works against the teachings of Christ)
antidetonante	 antiknock
antidetonante	 antiknock agent
antifogo	 fireproof
antifricção	 antifriction
antigamente	 formerly
antigamente	 heretofore
antigo	 ancient
antiguidade	 antiquity (ancient times)
antiguidade	 antiquity (relic or monument of ancient times)
antimónio	 antimony
antioxidante	 antioxidant
antioxidante	 antioxidant
antiparalelo	 antiparallel
antipático	 disagreeable, unpleasant, unlikable. Generally refers to a person.
antiquado	 antiquated
antirradiação	 antiradiation
antiácido	 antacid
antiácido	 acid-resistant
antiácido	 antacid
antiético	 unethical
antojar	 To fancy, desire
antologia	 anthology (collection of literary works)
antonomásia	 antonomasia
antropogénico	 anthropogenic
antropogênico	 anthropogenic
antropologia	 anthropology (the study of humanity)
antropológico	 anthropological
antropomórfico	 anthropomorphic
antropólogo	 anthropologist (one who is versed in anthropology)
antrópico	 anthropic
antídoto	 antidote
antílope	 antelope.
antítese	 antithesis
antónimo	 antonym (word which has the opposite meaning)
antônimo	 antonym
antônimo	 antonym
anual	 Ocurring at intervals of one year; annual.
anualmente	 Every year; yearly; annually.
anuidade	 annuity
anulabilidade	 annulability
anular	 To annul, repeal, revoke
anular	 To cancel
anulação	 annulment, repeal, abrogation
anulação	 cancellation, revocation
anulável	 annullable
anulável	 defeasible
anulável	 revocable
anunciante	 announcer (one who announces)
anunciar	 To announce
anunciar	 To advertise
anzol	 hook, fishhook
anáfora	 anaphora (repetition of a phrase used for emphasis)
análise	 analysis (action of taking something apart to study it)
análise numérica	 numerical analysis (study of algorithms)
análogo	 analogue (something that bears an analogy)
análogo	 analogous (bearing an analogy)
anátema	 anathema (ban or curse)
anão	 dwarf
anêmico	 anemic / anaemic
anídrico	 anhydrous
anódico	 anodic
anódino	 anodyne
anônimo	 anonymous
anúncio	 advertisement (commercial solicitation)
anúncio	 sign, indication
ao menos	 At a lower limit, at least.
ao invés de	 instead of; in lieu of; in place of; rather than.
ao longo de	 along, alongside
ao longo de	 throughout (during an entire period of time)
aonde	 where
apagar	 To clear, to erase
apagar	 To extinguish, to destroy
apagar	 To chill out
apagão	 blackout (mains electricity failure)
apagão	 blackout (loss of consciousness)
apaixonado	 in love
apaixonar	 To fall in love (with)
apanhar	 collect, gather
apanhar	 grab, pick up
apanhar	 field (intercept or catch)
apaniguado	 sectarian
apaniguado	 partisan
aparado	 cut, trimmed, hacked
aparecer	 to appear
aparecimento	 appearance (act of appearing)
aparecimento	 emergence
aparelhagem	 plant (industrial apparatus or machinery)
aparelhar	 To prepare, rig, make ready
aparelhar	 To harness (a horse)
aparelho	 device
aparentar	 to pretend, feign
aparentar	 to appear, seem
aparentemente	 apparently
aparentemente	 seemingly
aparição	 apparition, appearance (act of appearing)
aparição	 phantom, spectre
apartamento	 flat, apartment
aparência	 appearance (semblance)
apassamanar	 To braid
apatetar	 To besot
apavorante	 scary
apavorante	 horrifying
apavorar	 To scare
apavorar	 To horrify
apaziguar	 To appease
apaziguar	 To reconcile
apear	 To dismount
apear	 To alight
apear	 To humiliate
apegar	 To stick, glue, cling (to)
apegar	 To infect, contaminate
apelar	 to appeal
apelação	 appeal
apelidar	 To name
apelidar	 To nickname
apelo	 appeal
apelo	 plea
aperceber	 To notice, perceive
aperceber	 To realize
aperfeiçoamento	 improvement, amelioration
aperfeiçoar	 To perfect
aperfeiçoar	 To ameliorate
apertado	 tight
apertar	 To tighten
apertar	 To press, clasp, clamp
apertar o passo	 to pick up the pace.
aperto	 grip, grasp
apesar de	 in spite of (despite)
apesar	 despite, notwithstanding
apetecer	 to please
apetite	 appetite
apetite	 craving
apetitoso	 appetizing; tasty
apetrechado	 provide|Provided with gadgets
apimentado	 seasoned|Seasoned with pepper.
apimentado	 Driven by lust; lustful.
aplacar	 To placate, appease
aplicabilidade	 applicability
aplicar	 To apply (to put to use for a purpose)
aplicação	 application
aplicável	 applicable
apocalipse	 apocalypse
apocalíptico	 apocalyptic
apodrecimento	 decay
apodrecimento	 corruption
apoiador	 supporting
apoiador	 supporter
apoiante	 supporting
apoiante	 supporter
apoiar	 To second (to agree as a second person).
apoiar	 To support.
apoio	 support, backing
apoio	 aid
apoio	 rest, stand
apontador	 laser pointer
apontar	 To point out, indicate
apontar	 To aim
apoquentar	 To persecute
apoquentar	 To bother
apoquentar	 To molest
apor	 To overlap
apor	 To append
aportuguesar	 to adapt a word into Portuguese; to make Portuguese
aposentadoria	 retirement (the act of retiring)
aposentar	 To house, shelter, lodge
aposentar	 To retire (leave office)
aposento	 room, chamber
aposento	 bedroom
apossar	 To hold, seize
aposta	 bet (a wager)
apostar	 bet (to make a guess about the outcome of an event)
apostar	 to bet (be quite certain of something)
apostasia	 apostasy (renunciation of set of beliefs)
apoucar	 To lower, decrease
apoucar	 To make light of
aprazer	 To please
aprazer	 To delight
aprazível	 pleasant
aprazível	 enjoyable
apreciado	 appreciated
apreciador	 appreciative
apreciador	 connoisseur
apreciar	 To appreciate (all senses)
apreciar	 To enjoy
apreciavelmente	 appreciably
apreciação	 appreciation
apreciável	 appreciable
apreensivo	 apprehensive, worried
apreensão	 seizure, capture, arrest
apreensão	 apprehension
apregoar	 To cry, shout, proclaim
aprendiz	 apprentice (a trainee, especially in a skilled trade)
aprendizagem	 learning, schooling
aprendizagem	 apprenticeship
apresentador	 presenter
apresentante	 presenting
apresentar	 To present, to show
apresentação	 presentation, introduction
apressadamente	 hastily, hurriedly
apressado	 hasty, hurried
apressar	 to hurry (act quickly)
aprestar	 To harness
aprestar	 To prepare, ready
aprimoramento	 improvement
aprimoramento	 upgrade
apriorístico	 a priori
aprisionado	 captive
aprisionado	 arrested
aprisionado	 incarcerated
aprofundar	 To deepen
aprofundar	 To dig, excavate
aprontado	 primed, prepared
aprontado	 ready
apropriada	 appropriate (set apart for a particular use or person)
apropriado	 appropriate
apropriar	 To appropriate
apropriar	 To adapt
apropriação	 appropriation
aprovado	 approved (granted approval)
aprovar	 To approve
aprovar	 To endorse
aprovação	 approval, consent
aprovação	 acceptance
aprovação	 approbation
aproveitar	 To take, appropriate
aproveitar	 To utilize
aproveitar	 To benefit
aproximadamente	 approximately, about, circa
aproximar	 To approximate
aproximar	 To approach (get closer)
aproximação	 approach, access
aproximação	 approximation
aproximação	 rapprochement
aptidão	 aptitude, fitness, ability, capability
apurar	 To purify
apurar	 To collect
apurar	 To investigate
apurar	 To refine
apurar	 To simmer
apuro	 plight, difficulty
apêndice	 appendix, additional text
apócrifo	 apocryphal
apólice	 policy, contract of insurance
após	 after, next
aquando	 when; at the time (of); on; upon; as of.
aquecer	 to heat
aquecer	 warm up as a preparation for a physical activity.
aquecer	 warm up (to make an audience enthusiastic)
aquecido	 heated
aquecido	 warmish
aquecimento	 heating (a system that raises the temperature of a room or building)
aquecimento	 warm-up
aquecimento	 warming (an increase in temperature)
aqueduto	 aqueduct
aquele	 that over there, yon (far from the speaker and the listener)
aquentar	 To warm (up), heat
aquentar	 To excite, revive
aqui	 In this place; here.
aqui	 To this place; hither.
aqui	 At this time; at the present situation; here.
aquiescer	 acquiesce (rest satisfied)
aquietar	 To quieten down
aquietar	 To appease
aquietar	 To reassure
aquilo	 that, that thing (demonstrative)
aquisição	 acquisition
aquisição	 purchase
aquoso	 watery
aquoso	 aqueous
aquário	 aquarium
aquático	 aquatic
aquém	 on this side; here
aquém	 below; underneath
aquénio	 achene (small dry fruit)
aquênio	 achene (small dry fruit)
ar	 air
ar	 look, air (aspect)
ar-condicionado	 air conditioner 
aracnofobia	 arachnophobia
aracnídeo	 arachnid (eight-legged creature)
aragonês	 Aragonese
aragonês	 Aragonese (person)
aragonês	 Aragonese (language, masculine singular)
arame	 wire
aranha	 spider
aranheira	 spiderweb
arara	 macaw (bird)
arbitrariamente	 arbitrarily
arbitrário	 arbitrary (based on individual discretion or judgment)
arborizar	 to plant trees
arbustiforme	 shrublike.
arbusto	 shrub
arbítrio	 will, discretion
arca	 chest, coffer
arca	 ark
arcabuz	 harquebus / arquebus; musket
arcabuzar	 To fire a musket
arcabuzaria	 musketry
arcabuzeiro	 musketeer
arcaico	 archaic (old-fashioned or antiquated)
arcanjo	 archangel
arcebispo	 archbishop, primate, metropolitan
arco	 arc, curve
arco-e-flecha	 archery
arco-íris	 rainbow.
arder	 to be feverish
arder	 to feel a burning sensation
ardil	 ruse
ardil	 trick
ardil	 stratagem
ardósia	 slate (rock)
areia	 sand (finely ground rock)
arejar	 air (bring something into contact with the air)
arenque	 herring
argamassa	 mortar
arganaz	 dormouse (rodent)
argelino	 Algerian
argelino	 Algerian
argila	 clay
argila	 loam
argilomineral	 clay-mineral
argiloso	 clayey, argillaceous
argiloso	 loamy
arginina	 arginine
argola	 ring
arguir	 To argue
arguir	 To accuse
arguir	 To censure
arguição	 argumentation
arguição	 accusation
argumentação	 argumentation
argumentação	 argument (process of reasoning)
argumento	 argument (fact or statement used to support a proposition; a reason)
argêntico	 silver (attributive)
argónio	 argon.
argúcia	 wit, sharpness.
ariano	 Aryan
ariano	 Arian
ariano	 Aryan
ariano	 Arian
aridez	 aridity, dryness
arisco	 shy, aloof
arisco	 elusive
arisco	 suspicious
aristocracia	 aristocracy
aristocrata	 aristocrat
aristocrata	 aristocratic
arma	 weapon
arma de fogo	 firearm
armadilha	 trap (device designed to catch or kill animals)
armadilho	 armadillo
armadura	 armor (body protection)
armamento	 an act of arming
armarinho	 small cabinet
armarinho	 haberdashery (shop)
armazenagem	 storage.
armazenamento	 storage
armazenamento	 housing
armazenar	 To store, stock
armazenar	 To house
armazém	 warehouse
armação	 arming
armação	 frame, framework, armature
armação	 skeleton (building structure)
arminho	 ermine.
armistício	 armistice
armário	 wardrobe
armário	 cupboard
arménio	 Armenian
arménio	 Armenian person
