100 mètres	 100 metres
acclimatation	 acclimatization
acclimater	 to acclimatize (get used to a new climate)
accointance	 companionship
accolade	 curly bracket (brace)
accolade	 embrace
accolement	 apposition
accoler	 to place side by side
accolé	 bracketed
accommodant	 accommodating; conciliatory
accommodement	 settlement, arrangement
accommoder	 to accommodate
accompagnateur	 accompanier; co-(something)
accompagnatrice	 a female accompanist
accompagnement	 accompaniment
accompagnement	 side dish
accompagner	 to accompany
accompli	 achieved, accomplished
accomplir	 to accomplish
accomplissement	 accomplishment, achievement
accord	 chord
accord	 agreement
accorder	 to link to, to be related to
accordéoniste	 accordionist
accortement	 accordingly, accordantly
accostage	 docking, coming alongside
accotement	 hard shoulder, shoulder
accotement stabilisé	 hard shoulder
accotement non stabilisé	 soft shoulder
accotoir	 armrest
accoudoir	 armrest
accourcir	 To shorten
accourcissement	 shortening
accoutrer	 to accouter
accoutré	 attired, dressed (in a particular manner)
accoutumance	 habit, custom
accoutumé	 accustomed
accroc	 tear, rip
accroc	 glitch
accroc	 breach, infringement
accrochage	 collision, bump
accrochage	 clash
accrocheur	 catchy
accrocheur	 attention-grabbing
accroire	 To make (someone) believe (something)
accroissant	 increasing, expanding, widening
accroissement	 growth
accréditation	 accreditation
accréditer	 accredit
accrétion	 accretion 
accu	 accumulator, battery
accueil	 reception, hospitality
accueil	 acceptance
accueillant	 welcoming, accommodating
accueillir	 to welcome, to accommodate
acculer	 to corner someone, to prevent retreat or escape
acculé	 cornered
accumulateur	 accumulator, battery
accumulatrice	 accumulator (thing that accumulates something)
accumuler	 To accumulate
accumulé	 accumulated
accusateur	 accusing, accusatory
accusateur	 accuser, prosecutor
accède	 First-person singular indicative present form of '''accéder'''.
accède	 Third-person singular indicative present form of '''accéder'''.
accède	 First-person singular subjunctive present form of '''accéder'''.
accède	 Third-person singular subjunctive present form of '''accéder'''.
accède	 Second-person singular imperative present form of '''accéder'''.
accès	 access
accéder	 to reach (a place)
accéder	 to obtain, to achieve, to reach (a goal)
accéder	 to grant (permission)
accéder	 to access (information)
accélérateur	 accelerative
acerbe	 acerb (bitter to the taste)
acerbe	 harsh
acerbité	 acerbity
acescence	 see acescense above.
achalandage	 clientele, patronage, business
achalander	 to supply with clientele
achalandé	 busy (of a shop etc)
acharnement	 fury
acharnement	 stubbornness
acharnement	 ruthlessness
acharné	 fierce; relentless
achat	 buy, purchase
acheminement	 delivery, transporting
achetable	 buyable
acheter	 to purchase; to buy
acheteur	 buyer, purchaser (person who makes purchases)
acheuléen	 Acheulean
achevé d’imprimer	 A colophon, printer notice at the end or beginning of a publication, not actually part of the author's manuscript but concerning the physical edition
achillée	 yarrow (any of several pungent Eurasian herbs, of the genus Achillea)
achondroplasie	 achondroplasia (the genetic disorder)
achondroplasique	 achondroplastic
achoppement	 stumble; trip 
achromaticité	 achromaticity
achromatisme	 achromatism (achromatopia)
achèvement	 completion, conclusion, finish
acide	 acid, acidic, sour, tart
acide aminé	 amino acid
acide benzoïque	 benzoic acid
acide ribonucléique	 ribonucleic acid (derivative of DNA, used in the transcription of genetic material)
acide abiétique	 abietic acid
acide citrique	 citric acid
acide acétylsalicylique	 acetylsalicylic acid (acetate ester of salicylic acid; aspirin)
acide folique	 folic acid
acidifié	 acidified
acidique	 acidic
acidité	 acidity (the quality or state of being acid)
acidogène	 acidogenic
aciduler	 to slightly acidify, to render slightly acidic
acidulé	 slightly acid; tart
acier	 steel
acier inoxydable	 stainless steel
acinétique	 akinetic
aciérer	 To acierate
aciérie	 steelworks
aciériste	 steelmaker
aclinique	 aclinical
acmé	 acme
acmé	 climax
acolyte	 henchman, sidekick
acompte	 downpayment
acouphène	 tinnitus (perception of nonexistent noise)
acousmatique	 acousmatic.
acoustique	 acoustic (pertaining to hearing or the science of sounds)
acoustique	 acoustics
acquiescement	 agreement, acquiescence
acquiescer	 to acquiesce
acquis	 asset
acquisitif	 acquisitive
acquisition	 purchase (the act or process of seeking and obtaining something)
acquittement	 acquittal of debt, discharge, settlement
acquittement	 acknowledgement of something, such as a message, upon its receipt
acquitter	 to pay
acquitter	 to acknowledge (a signal), to notify the receipt of 
acquitté	 paid, honored
acquéreur	 buyer, purchaser (of real estate)
acquêt	 acquisition
acquêt	 profit; financial gain
acrimonie	 acrimony
acrimonieusement	 acrimoniously
acrimonieux	 acrimonious
acritarche	 acritarch
acrobate	 acrobat
acrobatie	 acrobatics
acrobatie	 stunt, trick (dangerous feat)
acrobatique	 acrobatic
acrobatiquement	 acrobatically
acroléïque	 acroleic
acromégalique	 acromegalic
acronyme	 acronym
acrophobie	 acrophobia
acrophonie	 acrophony
acropole	 acropolis
acrostiche	 acrostic
acrylique	 acrylic
acrylique	 acrylic
acte	 act
acte de naissance	 birth certificate (official document certifying the details of a person's birth)
acteur	 actor
actif	 active
actinomorphe	 actinomorphic (of a flower: with petals radially symmetric)
actinomycine	 actinomycin
actinométrique	 actinometric
actinoscopie	 actinoscopy
actinothérapie	 actinotherapy
action	 campaign
action	 stock, share
actionnaire	 shareholder
actionnariat	 shareholding
actionner	 to work (to set into action)
activateur	 activator
activement	 actively
activiste	 activist
activité	 activity
actrice	 actress
actualisation	 update
actualisation	 updating (action or process of updating)
actualité	 topic; topicality
actualité	 documentary
actuariel	 actuarial
actuel	 current
actuellement	 currently
acuité	 accuracy, precision
acuité	 acuteness, acuity
acuité	 sharpness, intensity
aculéate	 aculeate
acuponcteur	 acupuncturist
acyclique	 acyclic (not cyclic)
acédie	 acedia
acéphale	 acephal, acephalan
acérola	 acerola (fruit)
acéré	 sharp, keen
acétate	 acetate (salt or ester of acetic acid)
acétate	 acetate (transparent sheet)
acétimètre	 acetimeter
acétique	 acetic
acétoarsénite	 acetoarsenite
acétylé	 acetylated
adamantin	 adamantine
adaptabilité	 adaptability
adaptateur	 adapter (one who adapts something)
adaptateur	 adapter (device to allow compatibility)
adaptatif	 adaptative
adaptif	 adaptive
addictif	 addictive (causing or tending to cause addiction; habit-forming)
addictologie	 addictology
addictologique	 addictological
addictologue	 addictologist
additif	 additive (substance altering another substance)
additif	 addendum 
additif	 additive
additionnel	 additional (supplemental or added to)
additionner	 to sum; to add (add together)
adepte	 adept, capable, adroit
adepte	 expert, person who is adept.
adhérence	 adherence
adhérent	 adherent (adhering to something)
adhérent	 adherent (a person who has membership in some group)
adhésif	 adhesive
adhésif	 adhesive
adhésion	 adhesion, adherence
adhésivement	 adhesively
adiaphane	 opaque, non-transparent, non-diaphanous
adieu	 farewell
adiposité	 adiposity
adjectif	 adjective
adjectif	 adjective
adjectif possessif	 A possessive adjective, adjective serving as possessive determiner
adjectivement	 adjectivally
adjoindre	 to adjoin
adjoint	 deputy, assistant
adjointe	 deputy, assistant
adjonction	 addition, attachment
adjudicataire	 a winning bidder or tenderer
adjudicateur	 seller (at an auction)
adjudicateur	 awarder (of a contract)
adjuger	 to auction
adjurer	 to implore
admettre	 to admit, to accept, to recognize
admettre	 to admit (into), to accept (into) (a hospital or a university)
administrateur	 administrator
administratif	 administrative
administration	 management (administration; the process or practice of managing)
administrativement	 administratively
administrer	 to administer
administré	 citizen, from the point of view of their ruler or ruling administration.
admirablement	 admirably
admirateur	 admirer
admirativement	 admiringly
admirer	 To admire.
admissibilité	 admissibility
admissions	 First-person plural subjunctive imperfect form of '''admettre'''.
admit	 Third-person singular indicative past historic of '''admettre'''.
admonestation	 admonition
admonester	 to admonish; to reprimand
adné	 adnate (linked or fused)
adonner	 to devote oneself
adopter	 To adopt (claim legal ownership of a child)
adopter	 To adopt (claim ownership of a child)
adopter	 To adopt (claim a mannerism or style of someone else's)
adopter	 To vote (in politics)
adoptif	 adoptive, by or relating to adoption
adopté	 A male adoptee.
adoptée	 A girl or woman who was adopted.  A female adoptee.
adorablement	 adorably
adorer	 to love, to adore
adouber	 to adjust a piece in a board game, such as chess or backgammon
adoucir	 to make mild
adoucir	 to sweeten
adoucir	 to soften
adoucissant	 mild, balmy
adoucissant	 softening
adoucissant	 demulcent
adoucissant	 fabric softener
adoucissement	 sweetening, mellowing, softening
adoucisseur	 water softener
adresse	 address
adresse	 skill, adroitness
adriatique	 Adriatic (attributive)
adroit	 skilful, apt, skilled (possessing skill, skilled)
adroitement	 adroitly, skilfully
adrénaline	 adrenaline
adsorbé	 adsorbed
adualiste	 without duality
adulateur	 adulator
aduler	 to adulate
adulte	 adult
adulte	 adult
adultère	 adulterous
adultère	 adulterer
adultère	 adultery (sexual intercourse by a married person with someone other than their spouse)
adultérin	 adulterine, born out of adultery
adventice	 adventitious
adverbialement	 adverbially
adversaire	 adversary, opponent, opposition, antagonist
adversativement	 adversatively
adversité	 adversity
adénine	 adenine
adéquat	 suitable, appropriate, adequate
adéquatement	 adequately
adéquation	 appropriateness, conformity, adequacy
afar	 Afar (language)
afar	 Related to the Afar people.
affabilité	 affability
affabulateur	 inveterate storyteller
affabulation	 fantasy, invention
affabuler	 to make up stories, to tell a fable
affadissant	 fading
affadissement	 blandness
affaiblissement	 weakening
affaire	 affair, business
affaire	 deal
affairement	 bustle, hustle and bustle (an excited activity; a stir)
affairisme	 racketeering
affairiste	 wheeler-dealer
affairiste	 racketeer
affairé	 busy
affaissement	 collapse, cave-in
affaissement	 subsidence
affalé	 sprawling, slouching
affamé	 hungry
affecter	 to feign, affect (an emotion etc.)
affecter	 to allocate (something), assign (someone) ('''à''' to)
affecter	 to affect, influence
affectif	 emotional, affective
affection	 medical condition, complaint, disease
affectionner	 to affectionate, to feel affection for, to be fond of
affectivement	 affectionately
affectivement	 softly
affectueusement	 affectionately
affectueux	 affectionate; caring
affermer	 To have a leasehold
affermir	 to firm up
affermir	 to strengthen
affichage	 billboarding, using a billboard
affiche	 placard
affichette	 a small poster or flyer
afficheur à cristaux liquides	 liquid crystal display
afficheur	 bill sticker
affichiste	 poster designer
affiler	 to sharpen (to make sharp)
affilier	 to affiliate
affilé	 sharp
affinement	 refinement
affiner	 to purify
affiner	 to refine
affiner	 to make fine|finer
affinerie	 refinery (especially a place where metal is purified)
affineur	 One who refines; refiner.
affineur	 One who ages cheese and purveys it.
affinité	 affinity (a family relationship through marriage of a relative)
affiné	 purifying, refining
affiquet	 bauble
affirmatif	 affirmative
affirmativement	 affirmatively
affirmer	 To affirm
affleurant	 surfacing
affleurement	 outcrop
affleurer	 to place on the same level with, to show on the same surface
affligeant	 distressing, saddening
affligeant	 aggrieved
affliger	 to grieve, distress
affluence	 crowds
affluence	 abundance
affluent	 tributary
affluent	 tributary, affluent
afflux	 influx (inward flow)
affolant	 scary
affolement	 panic, terror
affolement	 insanity, craziness, lunacy
affouillement	 scouring (by running water)
affranchissement	 franking, metering
affreusement	 dreadfully|Dreadfully (in a dreadful manner)
affreux	 terrible, rubbish, awful
affriolant	 alluring, enticing
affrontable	 confrontable
affrontement	 confrontation, encounter
affronter	 to confront, face
affrètement	 affreightment
affréter	 to charter (a plane)
affréteur	 shipper
affût	 gun carriage
affûter	 to sharpen; to whet (e.g. a tool)
affûtiau	 a useless or worthless object, a trifle
afghan	 Afghan (pertaining to Afghanistan)
afin de	 in order to
afin que	 so that
afin	 to
africain	 African (of, or pertaining to Africa)
africanisme	 Africanism
afro-américain	 Afro-American
agacement	 annoyance, irritation
agacer	 to irritate
agacer	 to tease
agacerie	 (''especially in plural'') teasing
agaçant	 annoying
age	 beam
age	 shaft
agence de rencontres	 dating agency
agence	 agency
agencement	 arrangement, layout
agencer	 to arrange, to lay out, to piece together
agencé	 arranged
agencé	 prepared
agenda	 organiser, appointment book, engagement book.
agenouillé	 kneeling, in a kneeling position
agente provocatrice	 instigator, troublemaker.
agglomération	 agglomeration
agglomération	 village, town, any built-up area
agglomérer	 to agglomerate; fuse together
aggloméré	 masonite
agglutinant	 agglutinative (sticky)
agglutiner	 To paste (together)
agglutiner	 To agglutinate
aggravant	 aggravating
aggraver	 To worsen (make worse)
aggravé	 aggravated
agile	 nimble, agile (quick and light in movement or action)
agilement	 agilely, nimbly
agilité	 agility
agissant	 agitated
agissant	 active
agitateur	 agitator
agitation	 choppiness (of water), turbulence (in air), swaying (of branch etc.)
agitation	 restlessness
agitation	 bustle (of street, room etc.); activity
agitation	 (social) unrest
agiter	 To shake, to wave (to move back and forth)
agiter	 To agitate
agnat	 agnate
agnathe	 any member of the ''Agnatha'' superclass; agnathan
agnathe	 deprived of a jaw
agneau	 lamb (young sheep)
agneau	 lamb (sheep meat)
agneau	 lambskin
agnelle	 female lamb
agnosticisme	 agnosticism
agnostique	 agnostic
agnostique	 agnostic
agonie	 the moment just before death
agonisant	 dying
agoraphobie	 agoraphobia
agrafe	 staple (wire fastener used to secure stacks of paper)
agrafer	 to staple (secure with a staple)
agrafeuse	 stapler
agrainage	 The feeding of wild animals by spreading grain
agraire	 agrarian, relating to land
agrandir	 To embiggen.
agrandir	 To aggrandize.
agrandissement	 enlargement
agraphie	 agraphia
agresser	 to assault; to attack
agresseur	 aggressor
agressif	 aggressive
agression	 aggression
agressivement	 aggressively
agressivité	 aggression, aggressiveness
agricole	 agricultural
agriculteur	 farmer (person who works the land or who keeps livestock)
agrile du frêne	 ''Agrilus planipennis'', emerald ash borer
agripper	 to grip, grab, cling on to, grab hold of
